isoa3_id,isoa3_id_1,protection,sum
SDN,,protected,419964.93
SSD,,protected,689182.61
SWZ,,protected,1786.92
UGA,,protected,667487.08
SEN,,protected,342125.75
NER,,protected,309999.27
BDI,,protected,13166.06
LBR,,protected,25275.57
LSO,,protected,574.21
GMB,,protected,6122.38
BFA,,protected,445053.71
BEN,,protected,130733.02
GHA,,protected,226465.34
RWA,,protected,14937.59
STP,,protected,107.97
MUS,,protected,9022.95
MOZ,,protected,1403700.26
COM,,protected,2941.68
KEN,,protected,1513607.33
ZAF,,protected,362112.79
AGO,,protected,298050.63
TZA,,protected,2063462.51
GNQ,,protected,16577.40
GAB,,protected,30770.15
MRT,,protected,8572.73
CPV,,protected,6307.07
SLE,,protected,139246.55
MWI,,protected,187378.13
SYC,,protected,618.42
COD,,protected,1396626.88
NGA,,protected,2146239.63
GNB,,protected,32925.47
CAF,,protected,91077.62
CMR,,protected,16023.31
BWA,,protected,143231.64
NAM,,protected,121061.02
MLI,,protected,1696195.51
MDG,,protected,637979.53
GIN,,protected,1200071.40
TCD,,protected,389451.49
COG,,protected,24531.42
CIV,,protected,957473.08
ZWE,,protected,705441.08
TGO,,protected,199203.17
ZMB,,protected,1205454.03
ETH,,protected,2492425.21
TUN,,protected,8267.00
LBY,,protected,135.87
ESH,,protected,0.00
EGY,,protected,332771.03
MAR,,protected,277806.90
DZA,,protected,708811.81
TCD,,unprotected,9613031.84
SDN,,unprotected,29311235.85
EGY,,unprotected,78220592.55
SSD,,unprotected,6971631.22
ETH,,unprotected,74894397.68
ERI,,unprotected,2529344.72
TZA,,unprotected,37339167.83
KEN,,unprotected,34218227.93
UGA,,unprotected,27306431.21
SOM,,unprotected,10373421.32
NER,,unprotected,13539858.34
DZA,,unprotected,32198852.61
TUN,,unprotected,10325323.01
LBY,,unprotected,15927185.76
BFA,,unprotected,13415321.81
MLI,,unprotected,11496511.03
BEN,,unprotected,8038067.69
NGA,,unprotected,138157871.69
STP,,unprotected,151307.38
GNQ,,unprotected,815805.76
TGO,,unprotected,5516389.58
CMR,,unprotected,17232234.18
MDG,,unprotected,18037599.15
COM,,unprotected,534671.84
SYC,,unprotected,72341.16
MUS,,unprotected,957299.71
COD,,unprotected,55107812.98
BDI,,unprotected,7365488.32
RWA,,unprotected,9022090.12
CAF,,unprotected,4127205.89
SWZ,,unprotected,1070345.63
ZWE,,unprotected,11520892.65
MOZ,,unprotected,18710969.57
MWI,,unprotected,12572711.95
ZAF,,unprotected,48596744.62
LSO,,unprotected,1973095.95
BWA,,unprotected,1742900.78
ZMB,,unprotected,10329064.84
NAM,,unprotected,1364504.25
AGO,,unprotected,19024724.75
GAB,,unprotected,1386827.06
COG,,unprotected,3664325.50
CPV,,unprotected,429410.95
ESH,,unprotected,336991.86
MRT,,unprotected,2986274.50
MAR,,unprotected,30117515.49
SLE,,unprotected,5411219.47
LBR,,unprotected,3180856.79
CIV,,unprotected,18011966.36
GHA,,unprotected,22110992.98
GNB,,unprotected,1183376.38
GIN,,unprotected,7929124.57
GMB,,unprotected,1613067.21
SEN,,unprotected,10570485.41
DJI,,unprotected,756815.89
