isoa3_id,isoa3_id_1,protection,sum
SDN,,unprotected,37932434.94
SSD,,unprotected,10198372.35
SWZ,,unprotected,1132992.85
UGA,,unprotected,36594928.55
SEN,,unprotected,13811397.02
NER,,unprotected,19688569.63
BDI,,unprotected,10685034.81
LBR,,unprotected,4505635.78
LSO,,unprotected,2113129.10
GMB,,unprotected,2199234.19
BFA,,unprotected,18003497.36
BEN,,unprotected,10776747.71
GHA,,unprotected,28390323.01
RWA,,unprotected,11641934.34
STP,,unprotected,189038.59
SOM,,unprotected,13653402.62
MUS,,unprotected,991325.99
MOZ,,unprotected,24400767.33
COM,,unprotected,603780.56
KEN,,unprotected,44685083.40
ZAF,,unprotected,55382060.41
AGO,,unprotected,27492062.06
ERI,,unprotected,3027668.86
TZA,,unprotected,49551261.73
GNQ,,unprotected,1291528.31
GAB,,unprotected,1866478.21
DJI,,unprotected,917087.20
MRT,,unprotected,3923708.35
CPV,,unprotected,485908.46
SLE,,unprotected,6776744.71
MWI,,unprotected,16697779.66
SYC,,unprotected,83391.83
COD,,unprotected,75698862.55
NGA,,unprotected,180159827.84
GNB,,unprotected,1521954.28
CAF,,unprotected,4728336.30
CMR,,unprotected,22340132.63
BWA,,unprotected,2119156.93
NAM,,unprotected,1605420.84
MLI,,unprotected,15915398.43
MDG,,unprotected,23754945.44
GIN,,unprotected,9973629.72
TCD,,unprotected,13581468.42
COG,,unprotected,4355332.84
CIV,,unprotected,22345982.93
ZWE,,unprotected,13295626.80
TGO,,unprotected,7201767.56
ZMB,,unprotected,14515569.75
ETH,,unprotected,96010597.67
TUN,,unprotected,11476429.18
LBY,,unprotected,0.00
ESH,,unprotected,489320.80
EGY,,unprotected,96495164.85
MAR,,unprotected,34336391.25
DZA,,unprotected,38537884.38
TCD,,protected,554678.10
SDN,,protected,414302.40
EGY,,protected,1026806.49
SSD,,protected,993127.32
ETH,,protected,6327055.98
ERI,,protected,11.30
DJI,,protected,343.83
TZA,,protected,2962187.15
KEN,,protected,2056233.95
UGA,,protected,918377.88
SOM,,protected,204.83
NER,,protected,432421.55
DZA,,protected,955821.52
TUN,,protected,21398.34
LBY,,protected,0.00
BFA,,protected,696139.05
MLI,,protected,2212358.18
BEN,,protected,181269.33
NGA,,protected,3606637.61
STP,,protected,111.11
GNQ,,protected,23085.81
TGO,,protected,278734.12
CMR,,protected,631975.12
MDG,,protected,941455.10
COM,,protected,61308.27
SYC,,protected,784.32
MUS,,protected,9447.48
COD,,protected,2908140.88
BDI,,protected,17755.23
RWA,,protected,14541.30
CAF,,protected,102574.05
SWZ,,protected,1354.22
ZWE,,protected,862369.54
MOZ,,protected,2351220.19
MWI,,protected,245130.96
ZAF,,protected,426358.09
LSO,,protected,561.17
BWA,,protected,179351.38
ZMB,,protected,1694122.75
NAM,,protected,199124.28
AGO,,protected,475879.65
GAB,,protected,111750.38
COG,,protected,728931.04
CPV,,protected,4901.50
ESH,,protected,0.00
MRT,,protected,7022.78
MAR,,protected,302785.40
SLE,,protected,378522.82
LBR,,protected,40630.39
CIV,,protected,1250107.07
GHA,,protected,165923.04
GNB,,protected,96363.42
GIN,,protected,1643915.99
GMB,,protected,11306.51
SEN,,protected,464349.22
