isoa3_id,isoa3_id_1,protection,sum
,TUN,protected,7932.61
,TUN,unprotected,9832876.01
,LBY,protected,121.77
,LBY,unprotected,16610074.80
,ESH,unprotected,268189.87
,EGY,protected,6086.13
,EGY,unprotected,70194468.03
,MAR,protected,21520.67
,MAR,unprotected,28498134.26
,DZA,protected,459018.81
,DZA,unprotected,30264856.47
,BDI,protected,12044.03
,BDI,unprotected,6287597.59
,STP,unprotected,134425.04
,GNQ,protected,14021.92
,GNQ,unprotected,640477.95
,GAB,protected,12701.51
,GAB,unprotected,1222276.22
,COD,protected,1071966.49
,COD,unprotected,47503760.25
,CAF,protected,81700.25
,CAF,unprotected,3685686.07
,CMR,protected,13849.87
,CMR,unprotected,15056705.62
,TCD,protected,315021.13
,TCD,unprotected,7943718.64
,COG,protected,16524.97
,COG,unprotected,3134281.64
,SDN,protected,420957.64
,SDN,unprotected,26073302.21
,SSD,protected,430711.06
,SSD,unprotected,5681217.42
,UGA,protected,470134.68
,UGA,unprotected,23573934.72
,RWA,protected,294.66
,RWA,unprotected,8118233.59
,SOM,unprotected,8644453.00
,KEN,protected,1273424.18
,KEN,unprotected,29465873.77
,ERI,unprotected,2106926.38
,TZA,protected,1611158.33
,TZA,unprotected,32814436.70
,DJI,unprotected,675803.33
,ETH,protected,2108511.43
,ETH,unprotected,64860676.31
,SWZ,protected,2031.59
,SWZ,unprotected,1028603.36
,LSO,protected,648.06
,LSO,unprotected,1994494.53
,MUS,protected,8482.06
,MUS,unprotected,916853.36
,MOZ,protected,652655.92
,MOZ,unprotected,17016818.90
,COM,protected,2574.53
,COM,unprotected,483343.46
,ZAF,protected,341084.01
,ZAF,unprotected,46418075.41
,AGO,protected,244889.43
,AGO,unprotected,16028458.72
,MWI,protected,166908.08
,MWI,unprotected,11066000.71
,SYC,protected,374.54
,SYC,unprotected,67761.34
,BWA,protected,129054.83
,BWA,unprotected,1591281.19
,NAM,protected,18875.43
,NAM,unprotected,1322395.70
,MDG,protected,149543.85
,MDG,unprotected,15968207.53
,ZWE,protected,162163.42
,ZWE,unprotected,11673408.28
,ZMB,protected,1004961.51
,ZMB,unprotected,8856713.67
,SEN,protected,281293.38
,SEN,unprotected,9369106.45
,NER,protected,233777.44
,NER,unprotected,11384500.12
,LBR,protected,236.25
,LBR,unprotected,2848566.18
,GMB,protected,1773.47
,GMB,unprotected,1395972.10
,BFA,protected,376198.72
,BFA,unprotected,11491479.12
,BEN,protected,110410.46
,BEN,unprotected,6904667.56
,GHA,protected,255940.67
,GHA,unprotected,19327933.74
,MRT,protected,9820.39
,MRT,unprotected,2667339.15
,CPV,protected,5873.96
,CPV,unprotected,398894.29
,SLE,protected,105799.90
,SLE,unprotected,4362313.32
,NGA,protected,1810459.25
,NGA,unprotected,120872492.23
,GNB,protected,28169.33
,GNB,unprotected,1042195.82
,MLI,protected,362390.26
,MLI,unprotected,10887880.72
,GIN,protected,202253.84
,GIN,unprotected,8122761.22
,CIV,protected,833447.89
,CIV,unprotected,15965701.15
,TGO,protected,168940.50
,TGO,unprotected,4840030.55
