isoa3_id,isoa3_id_1,protection,sum
TUN,,unprotected,12077364.53
LBY,,unprotected,6780000.00
ESH,,unprotected,553060.44
EGY,,unprotected,106126158.48
MAR,,unprotected,36315492.60
DZA,,unprotected,42300385.58
EGY,,protected,932187.23
DZA,,protected,1098307.91
TUN,,protected,21789.08
LBY,,protected,0.00
ESH,,protected,0.00
MAR,,protected,329509.56
BWA,,unprotected,2341597.16
BWA,,protected,197959.15
MOZ,,unprotected,28309887.60
MOZ,,protected,2771470.25
MWI,,unprotected,19084268.50
MWI,,protected,297397.48
KEN,,unprotected,49534779.35
KEN,,protected,2343634.50
UGA,,unprotected,43341896.88
UGA,,protected,1098663.24
SOM,,unprotected,16437791.33
SOM,,protected,182.40
SWZ,,unprotected,1179799.05
SWZ,,protected,1215.50
BEN,,unprotected,12451072.52
BEN,,protected,219256.32
CIV,,unprotected,25347310.05
CIV,,protected,1463460.09
TGO,,unprotected,8120474.03
TGO,,protected,327583.28
COG,,unprotected,4995065.79
COG,,protected,736961.08
NER,,unprotected,23128643.19
NER,,protected,1198785.61
ZMB,,unprotected,16932802.57
ZMB,,protected,1948787.39
SDN,,unprotected,44190355.39
SDN,,protected,406459.92
ZWE,,unprotected,14651627.29
ZWE,,protected,1021615.53
NGA,,unprotected,203771150.75
NGA,,protected,4298944.17
COD,,unprotected,87821672.39
COD,,protected,4980796.11
AGO,,unprotected,32653692.29
AGO,,protected,590581.86
GIN,,unprotected,11213608.50
GIN,,protected,1983101.06
BFA,,unprotected,20689870.15
BFA,,protected,813961.32
MRT,,unprotected,4479687.55
MRT,,protected,6728.72
GAB,,unprotected,2114730.59
GAB,,protected,116816.83
TCD,,unprotected,15989260.71
TCD,,protected,652968.60
SSD,,unprotected,9734952.12
SSD,,protected,872334.25
CMR,,unprotected,25611770.64
CMR,,protected,831710.94
ETH,,unprotected,108886752.72
ETH,,protected,8134733.16
CAF,,unprotected,5238937.01
CAF,,protected,114888.78
ZAF,,unprotected,58166711.88
ZAF,,protected,561618.77
MLI,,unprotected,18726604.18
MLI,,protected,2512078.11
MDG,,unprotected,26981538.11
MDG,,protected,1076394.80
SEN,,unprotected,15737597.64
SEN,,protected,607504.31
GHA,,unprotected,31636478.75
GHA,,protected,117704.77
TZA,,unprotected,58078056.02
TZA,,protected,3595950.30
NAM,,unprotected,1787867.67
NAM,,protected,222870.28
LSO,,unprotected,2248059.01
LSO,,protected,597.97
RWA,,unprotected,13145907.70
RWA,,protected,14269.98
GNB,,unprotected,1732980.23
GNB,,protected,105861.42
GMB,,unprotected,2514311.45
GMB,,protected,13089.54
DJI,,unprotected,1001423.15
DJI,,protected,310.78
LBR,,unprotected,4966715.61
LBR,,protected,42859.85
MUS,,unprotected,995679.61
MUS,,protected,9664.19
CPV,,unprotected,519478.21
CPV,,protected,3558.90
STP,,unprotected,206029.12
STP,,protected,104.62
SLE,,unprotected,7611550.78
SLE,,protected,422472.54
BDI,,unprotected,12165777.25
BDI,,protected,21915.65
SYC,,unprotected,88548.68
SYC,,protected,1137.76
COM,,unprotected,665783.29
COM,,protected,68034.46
ERI,,unprotected,3236902.80
ERI,,protected,8.48
GNQ,,unprotected,1523085.82
GNQ,,protected,17234.06
