isoa3_id,fc_p_2006_sum,fc_p_2011_sum,fc_p_2016_sum,fc_p_2022_sum,fc_up_2006_sum,fc_up_2011_sum,fc_up_2016_sum,fc_up_2022_sum,ba_p_2006_sum,ba_p_2011_sum,ba_p_2016_sum,ba_p_2022_sum,ba_up_2006_sum,ba_up_2011_sum,ba_up_2016_sum,ba_up_2022_sum,fir_p_2006_result,fir_p_2011_result,fir_p_2016_result,fir_p_2022_result,fl_p_2006_sum,fl_p_2011_sum,fl_p_2016_sum,fl_p_2022_sum,fl_up_2006_sum,fl_up_2011_sum,fl_up_2016_sum,fl_up_2022_sum
TGO,"116021.999842044","116021.999841858","116021.999842042","117804.820105963","792889.297247169","792889.297249308","792889.297248696","791106.426817573","839010.353444045","1069512.51654913","543267.932499604","526539.066228637","2853338.69552797","3164447.01611074","1110204.80852999","985931.967715113","13814","14566","11748","10189",25.5994112403856,15.9419363056734,27.0100644958798,18.6407175133947,329.209506588858,353.193092120353,424.198659692711,494.457668442097
CMR,"2148948.26237028","2423780.4052483","2670418.56389026","2775665.82051413","22948241.8461545","22673405.3870291","22426764.2213349","22321514.8446661","2283498.52243214","2287307.69138317","2398248.01766906","2209703.25863452","16940545.5164527","12398406.040276","7937780.29602998","7620024.36554556","21567","23293","25174","25395",11.4593534320391,33.0448512525604,62.534306406518,51.7401094703061,1987.54481731275,2445.07123360111,5505.37122771494,6591.40142270317
MDG,"1773580.94737445","2063248.01543583","2067870.56481456","2098632.37407","13069434.8967088","12779771.4553562","12775148.8670303","12744386.6643222","510778.8993657","530248.834824638","604403.64629141","553840.268233259","9504089.85385059","10316717.3366314","10516915.6872242","7255520.51381327","13790","18639","19365","18974",455.286110834577,693.734331699241,1510.92275738193,1486.86046270462,5644.6025572782,7308.83399754989,15094.687056965,13589.3165455261
COM,"853.499751519017","40550.6269556528","40550.6269552038","40550.626955654","98499.4425717509","58801.3362473512","58801.336247413","58801.3362472365","0","0","88.7721703309331","0","5199.89566422961","2035.35809102715","2095.07859293892","1193.63957893811","1818","1863","1858","1848",0.0336811517408184,2.33678882440042,9.83237493951115,6.18276886708823,2.4586036482891,2.12973000931157,29.6486070952629,4.46753465521049
SYC,"17.8939416180053","3505.56555173491","3505.56552405705","3595.48730068246","3580.4127259548","133.574817617634","133.574817617634","43.6204391235802","0","0","0","0","0","0","0","0","1817","1826","1827","1815",0,0.0035045429402669,0.0391196219693052,0.0061753542480468,0.0112126924876493,0,0.0022039645730411,0
MUS,"5386.66011680587","5857.95108818274","5857.95108820256","5857.95108820427","59022.8053473585","58551.4245461836","58551.4245461533","58551.4245464541","0","0","0","0","0","0","0","0","1817","1827","1829","1815",0.176877920550896,0.159915880027143,0.327962482830451,0,11.1819686983164,12.4598513601926,23.7577746062895,0
COD,"15918756.6286436","22466180.2402475","23422038.1128461","24104966.2561624","147583466.719096","141036039.098825","140080177.416792","139397258.068492","7950806.3614875","7427229.11209271","6480620.35010777","6764109.24695751","81105677.3733487","73218116.8109411","71002615.7294308","65178378.7362823","125355","147636","138146","179404",780.87399776203,1718.51645142117,3355.36414463924,3515.12424466264,25676.2117583017,26566.6423649625,50121.8317176135,51162.5721271996
BDI,"60515.8764580158","60579.8333779186","60579.8333778945","60579.8333779345","524425.705601964","524361.737822761","524361.737823076","524361.737821349","63111.7098004312","47490.0346997515","66179.8370344589","63553.3168111918","65113.9958476331","29867.00157842","80712.8408874217","51884.0229348862","2517","2419","2450","2492",4.40776853029498,3.90760737157844,6.27418421054759,5.63651910308216,74.3132482182469,109.524579682722,132.81809891277,199.086633011453
RWA,"110306.990120623","110306.990120487","112610.773128036","112610.773128089","444991.209260163","444991.209260254","442687.12766421","442687.127663482","30529.1522857746","9817.52237210188","69825.7941172105","49618.708913287","1773.71914156502","2887.46476434697","51394.6491639725","33401.4432055988","2268","2060","2171","2070",3.13413152505888,2.31670895725529,6.55329880492805,7.36064555924862,73.762031500588,88.1719383392491,189.767820361754,228.293191122238
CAF,"4472889.54386126","4475757.5390622","4475757.54670926","4475757.55521482","25248729.5772936","25245858.409818","25245858.4117435","25245858.4117277","11340908.8107412","11484809.2311406","14132021.7497327","10166268.9225663","43964835.2213053","41319021.7780937","35732651.9779502","25337608.4107705","122189","132901","127617","122345",162.356153519732,111.602328619261,190.003633491275,166.596858671316,1806.52457301383,2213.26979211205,2580.07403063623,2439.00619033183
SWZ,"17690.7724631523","17690.7724631513","18593.1645805293","18594.7388533774","408341.312634709","408341.312634726","407438.68128537","407437.146274696","16094.4273338853","41315.453224567","24302.999759347","30580.6923040321","94231.5167003296","243717.107647714","81026.2510261788","114122.793624821","2215","2281","2242","2350",1.36654053322515,0.690404437045705,1.04160230370256,1.49992211541317,392.595259398334,336.94120525801,284.59551143503,278.425619530619
